Time,Input,Temperature,Set Point
117,50,23.937,60
118,50,23.937,60
119,50,23.937,60
120,50,23.937,60
121,50,23.937,60
122,50,23.937,60
123,50,23.937,60
124,50,23.937,60
125,50,23.937,60
126,50,23.937,60
127,50,23.937,60
128,50,23.937,60
129,50,23.937,60
130,50,23.937,60
131,50,23.937,60
132,50,23.937,60
133,50,23.937,60
134,50,23.937,60
135,50,23.937,60
136,50,23.937,60
137,50,23.937,60
138,50,23.937,60
139,50,23.937,60
140,50,23.937,60
141,50,23.937,60
142,50,23.937,60
143,50,23.937,60
144,50,23.937,60
145,50,23.937,60
146,50,23.937,60
147,50,23.937,60
148,50,23.937,60
149,50,23.937,60
150,50,23.937,60
151,50,23.937,60
152,50,23.937,60
153,50,23.937,60
154,50,23.937,60
155,50,23.937,60
156,50,23.937,60
157,50,23.937,60
158,50,23.937,60
159,50,23.937,60
160,50,23.937,60
161,50,23.937,60
162,50,23.937,60
163,50,23.937,60
164,50,23.937,60
165,50,23.937,60
166,50,23.937,60
167,50,23.937,60
168,50,23.937,60
169,50,23.937,60
170,50,23.937,60
171,50,23.937,60
172,50,23.937,60
173,50,23.937,60
174,50,23.937,60
175,50,23.937,60
176,50,23.937,60
177,50,23.937,60
178,50,23.937,60
179,50,23.937,60
180,50,23.937,60
181,50,23.937,60
182,50,23.937,60
183,50,23.937,60
184,50,23.937,60
185,50,23.937,60
186,50,23.937,60
187,50,23.937,60
188,50,23.937,60
189,50,23.937,60
190,50,23.937,60
191,50,23.937,60
192,50,23.937,60
193,50,23.937,60
194,50,23.937,60
195,50,23.937,60
196,50,23.937,60
197,50,23.937,60
198,50,23.937,60
199,50,23.937,60
200,50,23.937,60
201,50,23.937,60
202,50,23.937,60
203,50,23.937,60
204,50,23.937,60
205,50,23.937,60
206,50,23.937,60
207,50,23.937,60
208,50,23.937,60
209,50,23.937,60
210,50,23.937,60
211,50,23.937,60
212,50,23.937,60
213,50,23.937,60
214,50,23.937,60
215,50,23.937,60
216,50,23.937,60
217,50,23.937,60
218,50,23.937,60
219,50,23.937,60
220,50,23.937,60
221,50,23.937,60
222,50,23.937,60
223,50,23.937,60
224,50,23.937,60
225,50,23.937,60
226,50,23.937,60
227,50,23.937,60
228,50,23.937,60
229,50,23.937,60
230,50,23.937,60
231,50,23.937,60
232,50,23.937,60
233,50,23.937,60
234,50,23.937,60
235,50,23.937,60
236,50,23.937,60
237,50,23.937,60
238,50,23.937,60
239,50,23.937,60
240,50,23.937,60
241,50,23.937,60
242,50,23.937,60
243,50,23.937,60
244,50,23.937,60
245,50,23.937,60
246,50,23.937,60
247,50,23.937,60
248,50,23.937,60
249,50,23.937,60
250,50,23.937,60
251,50,23.937,60
252,50,23.937,60
253,50,23.937,60
254,50,23.937,60
255,50,23.937,60
256,50,23.937,60
257,50,23.937,60
258,50,23.937,60
259,50,23.937,60
260,50,23.937,60
261,50,23.937,60
262,50,23.937,60
263,50,23.937,60
264,50,23.937,60
265,50,23.937,60
266,50,23.937,60
267,50,23.937,60
268,50,23.937,60
269,50,23.937,60
270,50,23.937,60
271,50,23.937,60
272,50,23.937,60
273,50,23.937,60
274,50,23.937,60
275,50,23.937,60
276,50,23.937,60
277,50,23.937,60
278,50,23.937,60
279,50,23.937,60
280,50,23.937,60
281,50,23.937,60
282,50,23.937,60
283,50,23.937,60
284,50,23.937,60
285,50,23.937,60
286,50,23.937,60
287,50,23.937,60
288,50,23.937,60
289,50,23.937,60
290,50,23.937,60
291,50,23.937,60
292,50,23.937,60
293,50,23.937,60
294,50,23.937,60
295,50,23.937,60
296,50,23.937,60
297,50,23.937,60
298,50,23.937,60
299,50,23.937,60
300,50,23.937,60
301,50,23.937,60
302,50,23.937,60
303,50,23.937,60
304,50,23.937,60
305,50,23.937,60
306,50,23.937,60
307,50,23.937,60
308,50,23.937,60
309,50,23.937,60
310,50,23.937,60
311,50,23.937,60
312,50,23.937,60
313,50,23.937,60
314,50,23.937,60
315,50,23.937,60
316,50,23.937,60
317,50,23.937,60
318,50,23.937,60
319,50,23.937,60
320,50,23.937,60
321,50,23.937,60
322,50,23.937,60
323,50,23.937,60
324,50,23.937,60
325,50,23.937,60
326,50,23.937,60
327,50,23.937,60
328,50,23.937,60
329,50,23.937,60
330,50,23.937,60
331,50,23.937,60
332,50,23.937,60
333,50,23.937,60
334,50,23.937,60
335,50,23.937,60
336,50,23.937,60
337,50,23.937,60
